Game_Date,Team_Name,Location,Q1,Q2,Q3,Q4,Total_Score
2023-11-19T00:00:00,Mavericks,Home,36,29,31,17,113
2023-11-18T00:00:00,Mavericks,Away,34,24,40,27,125
2023-11-15T00:00:00,Mavericks,Away,41,30,33,26,130
2023-11-14T00:00:00,Mavericks,Away,26,28,31,25,110
2023-11-12T00:00:00,Mavericks,Away,34,33,42,27,136
2023-11-10T00:00:00,Mavericks,Home,30,47,38,29,144
2023-11-08T00:00:00,Mavericks,Home,33,25,30,28,116
2023-11-06T00:00:00,Mavericks,Away,27,26,33,31,117
2023-11-05T00:00:00,Mavericks,Home,26,24,33,41,124
2023-11-03T00:00:00,Mavericks,Away,24,31,32,27,114
2023-11-01T00:00:00,Mavericks,Home,26,23,32,33,114
2023-10-30T00:00:00,Mavericks,Away,30,37,30,28,125
2023-10-27T00:00:00,Mavericks,Home,26,31,31,37,125
2023-10-25T00:00:00,Mavericks,Away,36,28,32,30,126
2023-12-16T00:00:00,Nuggets,Home,31,25,31,30,117
2023-12-14T00:00:00,Nuggets,Home,29,23,38,34,124
2023-12-12T00:00:00,Nuggets,Away,32,25,35,22,114
2023-12-11T00:00:00,Nuggets,Away,28,37,38,26,129
2023-12-08T00:00:00,Nuggets,Home,22,26,26,32,106
2023-12-06T00:00:00,Nuggets,Away,36,21,25,20,102
2023-12-02T00:00:00,Nuggets,Away,30,20,28,39,117
2023-12-01T00:00:00,Nuggets,Away,41,29,24,25,119
2023-11-29T00:00:00,Nuggets,Home,41,35,32,26,134
2023-11-27T00:00:00,Nuggets,Away,25,33,19,36,113
2023-11-26T00:00:00,Nuggets,Home,39,33,35,25,132
2023-11-24T00:00:00,Nuggets,Away,19,24,26,17,86
2023-11-22T00:00:00,Nuggets,Away,28,34,26,31,119
2023-11-20T00:00:00,Nuggets,Away,27,29,25,26,107
2023-11-19T00:00:00,Nuggets,Away,27,31,17,34,109
2023-11-17T00:00:00,Nuggets,Away,28,25,33,24,110
2023-11-14T00:00:00,Nuggets,Home,28,32,24,27,111
2023-11-12T00:00:00,Nuggets,Away,30,20,26,28,104
2023-11-08T00:00:00,Nuggets,Home,26,27,23,32,108
2023-11-06T00:00:00,Nuggets,Home,25,34,40,35,134
2023-11-04T00:00:00,Nuggets,Home,23,28,35,37,123
2023-11-03T00:00:00,Nuggets,Home,40,30,32,23,125
2023-11-01T00:00:00,Nuggets,Away,21,23,28,17,89
2023-10-30T00:00:00,Nuggets,Home,31,27,22,30,110
2023-10-29T00:00:00,Nuggets,Away,34,35,28,31,128
2023-10-27T00:00:00,Nuggets,Away,25,36,28,19,108
2023-10-24T00:00:00,Nuggets,Home,34,29,24,32,119
2023-12-17T00:00:00,Warriors,Away,27,38,24,29,118
2023-12-16T00:00:00,Warriors,Home,32,38,25,29,124
2023-12-14T00:00:00,Warriors,Away,28,28,37,20,113
2023-12-12T00:00:00,Warriors,Away,25,31,31,29,116
2023-12-08T00:00:00,Warriors,Away,28,34,22,34,118
2023-12-06T00:00:00,Warriors,Home,22,26,34,28,110
2023-12-02T00:00:00,Warriors,Away,33,34,25,20,112
2023-11-30T00:00:00,Warriors,Home,31,30,25,34,120
2023-11-28T00:00:00,Warriors,Away,37,35,32,19,123
2023-11-24T00:00:00,Warriors,Home,32,27,27,32,118
2023-11-22T00:00:00,Warriors,Away,31,16,28,40,115
2023-11-20T00:00:00,Warriors,Home,29,34,29,29,121
2023-11-18T00:00:00,Warriors,Home,31,30,26,30,117
2023-11-16T00:00:00,Warriors,Home,24,36,25,24,109
2023-11-14T00:00:00,Warriors,Home,30,29,24,18,101
2023-11-12T00:00:00,Warriors,Home,31,20,22,37,110
2023-11-11T00:00:00,Warriors,Home,31,21,31,27,110
2023-11-08T00:00:00,Warriors,Away,21,26,31,27,105
2023-11-06T00:00:00,Warriors,Away,31,25,27,37,120
2023-11-05T00:00:00,Warriors,Away,30,15,32,27,104
2023-11-03T00:00:00,Warriors,Away,38,31,37,35,141
2023-11-01T00:00:00,Warriors,Home,28,28,18,28,102
2023-10-30T00:00:00,Warriors,Away,29,30,39,32,130
2023-10-29T00:00:00,Warriors,Away,26,31,24,25,106
2023-10-27T00:00:00,Warriors,Away,24,36,39,23,122
2023-10-24T00:00:00,Warriors,Home,28,18,40,18,104
2023-12-17T00:00:00,Rockets,Away,28,32,31,28,119
2023-12-15T00:00:00,Rockets,Away,14,31,30,28,103
2023-12-13T00:00:00,Rockets,Home,29,28,25,35,117
2023-12-11T00:00:00,Rockets,Home,19,32,18,24,93
2023-12-08T00:00:00,Rockets,Away,27,25,40,22,114
2023-12-06T00:00:00,Rockets,Home,32,23,25,30,110
2023-12-02T00:00:00,Rockets,Away,30,14,28,25,97
2023-11-29T00:00:00,Rockets,Away,26,33,38,27,124
2023-11-28T00:00:00,Rockets,Away,22,28,38,27,115
2023-11-24T00:00:00,Rockets,Home,29,31,24,21,105
2023-11-22T00:00:00,Rockets,Home,21,24,29,37,111
2023-11-20T00:00:00,Rockets,Away,27,26,28,35,116
2023-11-19T00:00:00,Rockets,Away,28,27,20,29,104
2023-11-17T00:00:00,Rockets,Away,23,27,27,23,100
2023-11-12T00:00:00,Rockets,Home,23,23,28,33,107
2023-11-10T00:00:00,Rockets,Home,26,28,16,34,104
2023-11-08T00:00:00,Rockets,Home,32,34,33,29,128
2023-11-06T00:00:00,Rockets,Home,32,35,30,25,122
2023-11-04T00:00:00,Rockets,Home,33,26,12,36,107
2023-11-01T00:00:00,Rockets,Home,39,22,25,42,128
2023-10-29T00:00:00,Rockets,Home,24,23,28,20,95
2023-10-27T00:00:00,Rockets,Away,23,29,31,28,111
2023-10-25T00:00:00,Rockets,Away,20,23,26,17,86
2023-12-16T00:00:00,Clippers,Home,35,42,37,30,144
2023-12-14T00:00:00,Clippers,Home,29,40,30,22,121
2023-12-12T00:00:00,Clippers,Home,32,38,29,20,119
2023-12-11T00:00:00,Clippers,Home,43,23,39,27,132
2023-12-08T00:00:00,Clippers,Away,32,27,29,29,117
2023-12-06T00:00:00,Clippers,Home,21,40,18,32,111
2023-12-02T00:00:00,Clippers,Home,22,26,37,28,113
2023-11-30T00:00:00,Clippers,Away,24,26,27,37,114
2023-11-29T00:00:00,Clippers,Away,35,37,30,29,131
2023-11-27T00:00:00,Clippers,Home,28,28,32,16,104
2023-11-25T00:00:00,Clippers,Home,29,27,23,28,107
2023-11-24T00:00:00,Clippers,Home,23,32,28,23,106
2023-11-22T00:00:00,Clippers,Away,26,28,28,27,109
2023-11-20T00:00:00,Clippers,Away,33,33,25,33,124
2023-11-17T00:00:00,Clippers,Home,29,19,31,27,106
2023-11-14T00:00:00,Clippers,Away,26,26,32,24,108
2023-11-12T00:00:00,Clippers,Home,20,25,23,33,101
2023-11-10T00:00:00,Clippers,Away,33,18,38,37,126
2023-11-08T00:00:00,Clippers,Away,21,28,22,22,93
2023-11-06T00:00:00,Clippers,Away,21,25,30,21,97
2023-11-01T00:00:00,Clippers,Away,37,24,24,32,117
2023-10-31T00:00:00,Clippers,Home,13,34,41,30,118
2023-10-29T00:00:00,Clippers,Home,23,33,37,30,123
2023-10-27T00:00:00,Clippers,Away,30,24,29,35,118
2023-10-25T00:00:00,Clippers,Home,29,38,32,24,123
2023-12-15T00:00:00,Lakers,Away,22,40,25,28,115
